DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2000/01/18,02:23:03,55,8201.4922,s,287
2000/01/18,02:28:33,93,5300.8911,s,288
2000/01/18,02:47:47,93,7167.3628,s,289
2000/01/18,02:49:28,27,6438.4102,s,290
2000/01/18,02:51:24,12,4212.4771,s,291
2000/01/18,02:52:03,39,4675.5923,s,292
2000/01/18,02:54:21,51,7071.918,s,293
2000/01/18,02:54:51,10,2704.9795,s,294
2000/01/18,02:56:59,50,8575.9277,s,295
2000/01/18,02:57:19,17,5452.6963,s,296
2000/01/18,03:00:03,44,8960.5684,s,297
2000/01/18,03:00:16,17,7935.4741,s,298
2000/01/18,03:00:25,19,7810.0063,s,299
2000/01/18,03:01:59,18,6606.7979,s,300
2000/01/18,03:08:21,17,7032.7676,s,301
2000/01/18,03:08:37,21,8039.4409,s,302
2000/01/18,03:12:08,16,8201.3447,s,303
2000/01/18,03:12:28,24,8476.9111,s,304
2000/01/18,03:12:37,9,4518.7466,s,305
2000/01/18,03:13:18,27,8238.6484,s,306
2000/01/18,03:14:02,10,4338.4727,s,307
2000/01/18,03:14:39,17,5591.8813,s,308
2000/01/18,03:15:16,29,7807.665,s,309
2000/01/18,03:16:32,10,3776.1091,s,310
2000/01/18,03:18:46,20,5173.4121,s,311
2000/01/18,03:18:54,45,8226.2764,s,312
2000/01/18,03:19:06,36,10293.2285,s,313
2000/01/18,03:19:26,2,635.1086,s,314
2000/01/18,03:19:37,48,10820.5801,s,315
2000/01/18,03:20:21,65,7384.603,s,316
2000/01/18,03:20:44,5,3005.4626,s,317
2000/01/18,03:20:55,1,804.4078,s,318
2000/01/18,03:23:18,57,11912.7959,s,319
2000/01/18,03:24:10,8,4580.9048,s,320
2000/01/18,03:24:48,14,4508.4209,s,321
2000/01/18,03:28:40,15,6136.0337,s,322
2000/01/18,03:32:59,27,6599.6323,s,323
2000/01/18,03:34:07,20,7892.2266,s,324
2000/01/18,03:42:57,55,8719.8906,s,325
2000/01/18,03:47:11,18,8254.6465,s,326
2000/01/18,03:51:54,19,8511.5098,s,327
2000/01/18,03:56:36,31,8499.2393,s,328
2000/01/18,03:56:49,20,8723.0625,s,329
2000/01/18,04:12:23,181,9168.6709,s,330
2000/01/18,04:12:41,13,6060.4634,s,331
2000/01/18,04:12:46,16,381.489,s,332
2000/01/18,04:12:53,35,8357.0557,s,333
2000/01/18,04:13:20,19,2673.6448,s,334
2000/01/18,04:13:46,31,5859.7744,s,335
2000/01/18,04:14:02,10,5790.5322,s,336
2000/01/18,04:14:31,8,4911.2534,s,337
2000/01/18,04:14:55,1,310.9253,s,338
2000/01/18,04:14:59,17,10935.0918,s,339
2000/01/18,04:15:29,84,11331.8379,s,340
2000/01/18,04:15:35,4,1900.4382,s,341
2000/01/18,04:15:40,10,759.7281,s,342
2000/01/18,04:15:45,9,4026.4353,s,343
2000/01/18,04:16:04,123,11343.0566,s,344
2000/01/18,04:16:20,18,9993.5254,s,345
2000/01/18,04:16:33,16,7445.4761,s,346
2000/01/18,04:18:34,13,1841.9219,s,347
2000/01/18,04:20:28,18,2228.78,s,348
2000/01/18,04:20:33,10,480.8973,s,349
2000/01/18,04:22:03,16,3665.4512,s,350
2000/01/18,04:23:48,18,3612.6355,s,351
2000/01/18,04:24:09,13,3995.9109,s,352
2000/01/18,04:24:26,3,1077.7767,s,353
2000/01/18,04:24:34,5,2442.043,s,354
2000/01/18,04:24:40,27,3592.4143,s,355
2000/01/18,04:24:45,62,1209.0198,s,356
2000/01/18,04:24:53,5,1847.9414,s,357
2000/01/18,04:24:57,16,1825.9154,s,358
2000/01/18,04:25:30,1,175.0421,s,359
2000/01/18,04:25:37,1,587.9486,s,360
2000/01/18,04:25:52,12,1984.4567,s,361
2000/01/18,04:26:02,1,44.2022,s,362
2000/01/18,04:30:41,26,3197.1055,s,363
2000/01/18,04:31:05,15,3681.469,s,364
2000/01/18,04:31:17,40,3196.5647,s,365
2000/01/18,04:32:56,61,8416.3574,s,366
2000/01/18,04:33:46,7,2568.8323,s,367
2000/01/18,04:37:12,21,9650.0742,s,368
2000/01/18,04:37:40,32,8630.2002,s,369
2000/01/18,04:39:55,20,7957.8652,s,370
2000/01/18,04:40:42,36,3830.6299,s,371
2000/01/18,04:41:46,17,5141.2598,s,372
2000/01/18,04:43:22,130,8768.3896,s,373
2000/01/18,04:43:34,17,5288.0698,s,374
2000/01/18,04:43:47,27,4481.7603,s,375
2000/01/18,04:43:56,29,5398.8389,s,376
2000/01/18,04:44:08,9,1737.6921,s,377
2000/01/18,04:52:51,71,9075.4893,s,378
2000/01/18,04:53:08,26,8184.2075,s,379
2000/01/18,04:53:16,11,6105.4575,s,380
2000/01/18,04:53:23,22,1467.9073,s,381
2000/01/18,04:53:26,3,1638.6785,s,382
2000/01/18,04:54:46,92,8283.9912,s,383
2000/01/18,04:57:05,39,8379.3027,s,384
2000/01/18,05:02:29,18,8361.6465,s,385
2000/01/18,05:06:45,12,6536.7046,s,386
2000/01/18,05:09:54,16,9682.334,s,387
2000/01/18,05:10:32,16,8924.6562,s,388
2000/01/18,05:10:37,16,3120.0657,s,389
2000/01/18,05:12:27,150,9400.8994,s,390
2000/01/18,05:15:39,26,8309.3652,s,391
2000/01/18,05:15:51,19,9200.7656,s,392
2000/01/18,05:18:54,96,8611.4746,s,393
2000/01/18,05:20:23,96,8236.4277,s,394
2000/01/18,05:20:36,18,7527.7681,s,395
2000/01/18,05:20:56,59,7910.0142,s,396
2000/01/18,05:22:36,125,8440.6729,s,397
2000/01/18,05:23:21,47,7838.2651,s,398
2000/01/18,05:23:38,24,6009.5942,s,399
2000/01/18,05:24:17,28,7036.2251,s,400
2000/01/18,05:24:48,35,7411.7998,s,401
2000/01/18,05:25:03,6,2997.8999,s,402
2000/01/18,05:26:19,107,8104.8477,s,403
2000/01/18,05:28:24,17,7853.916,s,404
2000/01/18,05:31:19,24,7285.2944,s,405
2000/01/18,05:31:35,3,1386.2134,s,406
2000/01/18,05:33:24,8,3748.8979,s,407
2000/01/18,05:34:49,17,7633.127,s,408
2000/01/18,05:35:09,47,9164.2627,s,409
2000/01/18,05:37:45,255,10085.9717,s,410
2000/01/18,05:37:57,17,5132.8486,s,411
2000/01/18,05:38:53,45,7512.2993,s,412
2000/01/18,05:45:49,94,7473.8936,s,413
2000/01/18,05:50:14,16,5194.5742,s,414
2000/01/18,05:51:31,3,253.0339,s,415
2000/01/18,05:52:19,21,2643.4661,s,416
2000/01/18,05:52:33,1,310.1809,s,417
2000/01/18,05:53:57,49,10110.7471,s,418
2000/01/18,05:54:15,63,9946.0254,s,419
2000/01/18,06:02:22,18,6221.5073,s,420
2000/01/18,06:02:51,1,401.001,s,421
2000/01/18,06:04:32,109,10562.707,s,422
2000/01/18,06:04:41,40,9926.3193,s,423
2000/01/18,06:05:14,42,9453.7031,s,424
2000/01/18,06:07:30,190,6465.2041,s,425
2000/01/18,06:10:11,70,6257.1646,s,426
2000/01/18,06:12:37,17,5552.4448,s,427
2000/01/18,06:15:15,274,6639.2578,s,428
2000/01/18,06:15:50,1,196.5484,s,429
2000/01/18,06:16:17,65,6160.4404,s,430
2000/01/18,06:16:25,16,4095.7505,s,431
2000/01/18,06:17:17,13,5788.3164,s,432
2000/01/18,06:17:36,46,9991.8721,s,433
2000/01/18,06:18:55,39,6903.981,s,434
2000/01/18,06:19:09,17,10476.5068,s,435
2000/01/18,06:19:20,20,6749.3115,s,436
2000/01/18,06:19:39,53,9822.4482,s,437
2000/01/18,06:21:14,13,5569.3218,s,438
2000/01/18,06:21:50,46,9546.7432,s,439
2000/01/18,06:22:19,25,9875.376,s,440
2000/01/18,06:22:27,19,8035.7319,s,441
2000/01/18,06:24:11,31,6688.4458,s,442
2000/01/18,06:24:26,1,1008.9897,s,443
2000/01/18,06:25:08,16,8648.1699,s,444
2000/01/18,06:27:11,17,6138.0171,s,445
2000/01/18,06:27:22,1,177.6333,s,446
2000/01/18,06:29:08,17,6170.1494,s,447
2000/01/18,06:29:59,21,6378.7422,s,448
2000/01/18,06:31:30,2,1099.8729,s,449
2000/01/18,06:32:59,35,7080.8164,s,450
2000/01/18,06:34:01,36,8346.0156,s,451
2000/01/18,06:36:25,28,9278.3154,s,452
2000/01/18,06:36:51,39,5512.7593,s,453
2000/01/18,06:39:15,3,1724.531,s,454
2000/01/18,06:40:28,57,6197.0752,s,455
2000/01/18,06:42:37,56,6259.0762,s,456
2000/01/18,06:43:16,17,4329.5293,s,457
2000/01/18,06:44:26,56,9512.792,s,458
2000/01/18,06:46:13,92,10557.8145,s,459
2000/01/18,06:47:38,43,7084.7656,s,460
2000/01/18,06:49:09,3,1619.526,s,461
2000/01/18,06:49:46,34,5983.2563,s,462
2000/01/18,06:50:01,18,9850.4639,s,463
2000/01/18,06:50:33,26,8837.7285,s,464
2000/01/18,06:51:25,53,5564.8164,s,465
2000/01/18,06:57:17,18,5449.5562,s,466
2000/01/18,07:02:57,34,5401.4663,s,467
2000/01/18,07:06:11,74,5395.4766,s,468
2000/01/18,07:08:40,30,7232.5825,s,469
2000/01/18,07:10:27,56,6409.7568,s,470
2000/01/18,07:11:44,17,3911.5063,s,471
2000/01/18,07:24:11,22,3334.0139,s,472
2000/01/18,07:25:20,76,4079.8379,s,473
2000/01/18,07:26:44,129,4310.1689,s,474
2000/01/18,07:27:00,23,10048.5244,s,475
2000/01/18,07:27:13,69,3550.7288,s,476
2000/01/18,07:37:13,272,4060.7952,s,477
2000/01/18,07:37:33,4,1802.3965,s,478
2000/01/18,07:37:43,47,3771.5503,s,479
2000/01/18,07:41:45,83,2973.2012,s,480
2000/01/18,07:43:04,72,3593.3398,s,481
2000/01/18,07:46:35,33,3465.5405,s,482
2000/01/18,07:50:39,60,4333.6304,s,483
2000/01/18,07:56:00,139,4534.0747,s,484
2000/01/18,07:58:32,31,236.8715,s,485
2000/01/18,07:59:12,28,2405.356,s,486
2000/01/18,07:59:30,48,10596.623,s,487
2000/01/18,08:00:08,17,3481.2578,s,488
2000/01/18,08:00:22,17,2174.8745,s,489
2000/01/18,08:02:31,24,2383.094,s,490
2000/01/18,08:03:41,48,3196.2444,s,491
2000/01/18,08:06:06,52,3141.4414,s,492
2000/01/18,08:06:40,24,1885.6481,s,493
2000/01/18,08:06:46,18,4118.4209,s,494
2000/01/18,08:08:33,60,3550.5461,s,495
2000/01/18,08:08:43,5,3278.6223,s,496
2000/01/18,08:11:14,37,2119.7991,s,497
2000/01/18,08:11:35,3,1212.7697,s,498
2000/01/18,08:13:13,70,3950.0991,s,499
2000/01/18,08:14:11,27,3404.1592,s,500
2000/01/18,08:15:31,46,4949.8096,s,501
2000/01/18,08:16:03,4,753.0865,s,502
2000/01/18,08:16:09,21,4003.6284,s,503
2000/01/18,08:19:24,17,2600.0686,s,504
2000/01/18,08:23:35,68,3086.717,s,505
2000/01/18,08:23:57,23,2578.8616,s,506
2000/01/18,08:27:37,58,4128.54,s,507
2000/01/18,08:34:57,60,5252.8433,s,508
2000/01/18,08:35:28,22,8819.9092,s,509
2000/01/18,08:35:42,50,7395.1631,s,510
2000/01/18,08:35:47,11,536.7537,s,511
2000/01/18,08:37:14,19,2857.4087,s,512
2000/01/18,08:37:25,20,601.0283,s,513
2000/01/18,08:37:47,13,3015.968,s,514
2000/01/18,08:39:24,65,4035.0852,s,515
2000/01/18,08:42:50,97,3421.8762,s,516
2000/01/18,08:43:23,1,104.5584,s,517
2000/01/18,08:43:34,5,905.7866,s,518
2000/01/18,08:45:39,47,3954.262,s,519
2000/01/18,08:46:12,24,1513.0043,s,520
2000/01/18,08:46:17,17,2078.2625,s,521
2000/01/18,08:47:14,16,1919.6792,s,522
2000/01/18,08:47:20,12,1251.618,s,523
2000/01/18,08:48:21,95,8977.2529,s,524
2000/01/18,08:48:25,2,265.2526,s,525
2000/01/18,08:49:08,1,732.6729,s,526
2000/01/18,08:49:45,16,4708.3765,s,527
2000/01/18,08:50:40,46,9863.0713,s,528
2000/01/18,08:51:00,5,1829.0992,s,529
2000/01/18,08:52:28,15,2662.1621,s,530
2000/01/18,08:52:39,8,4024.3174,s,531
2000/01/18,08:52:50,19,8652.8604,s,532
2000/01/18,08:53:02,6,971.6285,s,533
2000/01/18,08:54:10,26,3404.0088,s,534
2000/01/18,08:54:48,14,1478.9407,s,535
2000/01/18,08:55:17,19,2361.6382,s,536
2000/01/18,08:56:56,45,6733.4595,s,537
2000/01/18,08:57:08,4,2593.2893,s,538
2000/01/18,08:57:14,14,4766.3721,s,539
2000/01/18,08:57:27,12,5707.6924,s,540
2000/01/18,08:58:28,8,303.2556,s,541
2000/01/18,09:01:19,87,3332.4143,s,542
2000/01/18,09:03:09,6,3056.8276,s,543
2000/01/18,09:07:52,40,1744.1793,s,544
2000/01/18,09:08:57,29,2481.3083,s,545
2000/01/18,09:11:22,71,9314.5762,s,546
2000/01/18,09:17:40,16,1645.8693,s,547
2000/01/18,09:18:38,2,928.7128,s,548
2000/01/18,09:51:17,4,70.1129,s,549
2000/01/18,09:53:04,13,611.9703,s,550
2000/01/18,09:53:10,2,490.5192,s,551
2000/01/18,09:53:16,9,334.1605,s,552
2000/01/18,09:53:40,9,1359.63,s,553
2000/01/18,09:54:22,18,299.1771,s,554
2000/01/18,10:03:05,8,973.6032,s,555
2000/01/18,10:16:10,1,98.251,s,556
2000/01/18,10:29:40,2,1980.6436,s,557
2000/01/18,11:33:48,3,1492.158,s,558
2000/01/18,11:34:46,7,3857.4729,s,559
